author	The author answered questions after reading from her new novel.	著者は新作小説を朗読した後、質問に答えた。
automatic	The doors are automatic and open when you approach them.	そのドアは自動式で、近づくと開く。
awful	The weather was awful, so we cancelled the picnic.	天気がひどかったので、私たちはピクニックを中止した。
back	The shop has a small garden at the back.	その店の裏には小さな庭がある。
background	Her background in engineering helped her solve the problem.	工学の経歴が、彼女が問題を解決する助けになった。
backwards	He took two steps backwards to see the whole picture.	彼は絵全体を見るために2歩後ろへ下がった。
bacteria	Some bacteria are useful for making food such as yogurt.	細菌の中にはヨーグルトなどの食品作りに役立つものがある。
badge	Visitors must wear a badge inside the building.	訪問者は建物内でバッジを着けなければならない。
badly	The roof was badly damaged by the storm.	屋根は嵐でひどく損傷した。
bake	We decided to bake some bread for the neighbours.	私たちは近所の人たちにパンを焼くことにした。
balanced	A balanced diet should include a variety of foods.	バランスの取れた食事には多様な食品を含めるべきだ。
ballet	She has studied ballet since she was six years old.	彼女は6歳の時からバレエを習っている。
balloon	A red balloon floated above the crowd.	赤い風船が群衆の上に浮かんでいた。
bar	We met at a quiet bar near the station.	私たちは駅近くの静かなバーで会った。
barely	I could barely hear the speaker from the back of the hall.	ホールの後ろからは話し手の声がほとんど聞こえなかった。
base	The company will base its Asian operations in Osaka.	その会社はアジア事業の拠点を大阪に置く。
baseball	They play baseball in the park every Sunday.	彼らは毎週日曜日に公園で野球をする。
based	The film is based on a true story.	その映画は実話に基づいている。
basement	We store old furniture in the basement.	私たちは古い家具を地下室に保管している。
basic	The course teaches basic computer skills.	その講座はコンピューターの基本技能を教える。
basically	The two proposals are basically the same.	その2つの提案は基本的に同じだ。
basket	She carried the vegetables home in a basket.	彼女は野菜をかごに入れて家へ運んだ。
basketball	My brother joined the school basketball team.	弟は学校のバスケットボール部に入った。
bat	A bat flew out of the cave at sunset.	日没時にコウモリが洞窟から飛び出した。
battery	The phone battery should last for two days.	その電話の電池は2日間もつはずだ。
bean	Add each bean to the soup after soaking it overnight.	一晩水につけた豆をスープに加えてください。
beat	Our team hopes to beat last year's champions.	私たちのチームは昨年の優勝チームに勝ちたいと思っている。
beauty	Visitors come to admire the natural beauty of the island.	訪問者はその島の自然の美しさを楽しみに来る。
bee	A bee landed on the yellow flower.	一匹のミツバチが黄色い花に止まった。
beef	The restaurant buys its beef from local farms.	そのレストランは地元の農場から牛肉を仕入れている。
before	Please read the instructions before you begin.	始める前に説明を読んでください。
beg	The charity had to beg for additional support.	その慈善団体は追加支援を懇願しなければならなかった。
behaviour	The teacher praised the students for their responsible behaviour.	先生は生徒たちの責任ある行動を褒めた。
being	Every human being needs clean water and a safe place to live.	すべての人間には清潔な水と安全に暮らせる場所が必要だ。
bell	The church bell rang at noon.	教会の鐘が正午に鳴った。
belt	Remember to fasten your seat belt before takeoff.	離陸前にシートベルトを締めるのを忘れないでください。
bend	Bend your knees slightly when you lift the box.	箱を持ち上げる時は膝を少し曲げなさい。
beneficial	Daily reading is beneficial for vocabulary development.	毎日の読書は語彙力の向上に役立つ。
bent	The metal frame was bent in the accident.	金属製の枠は事故で曲がった。
beside	A small table stood beside the bed.	ベッドの横に小さなテーブルがあった。
best	This is the best solution we have found so far.	これはこれまでに見つけた最善の解決策だ。
bet	I bet the train will be crowded this evening.	今晩の電車は混むと思うよ。
better	The new software works much better than the old version.	新しいソフトウェアは旧版よりずっとうまく動く。
between	The agreement was signed between the two organizations.	その協定は2つの組織の間で結ばれた。
beyond	The path continues beyond the bridge.	その道は橋の向こうまで続いている。
bias	Good researchers try to recognize and reduce bias.	優れた研究者は偏りを認識し減らそうとする。
bid	Three companies made a bid for the construction contract.	3社がその建設契約に入札した。
bin	Please put empty bottles in the recycling bin.	空の瓶はリサイクル用の箱に入れてください。
biological	The study examines biological differences between the species.	その研究は種の間の生物学的な違いを調べている。
birth	The hospital recorded more than two thousand births last year.	その病院では昨年2,000件を超える出産が記録された。
biscuit	She offered each guest a biscuit with tea.	彼女は客一人ひとりに紅茶とビスケットを出した。
bit	Could you move the chair a bit closer?	椅子をもう少し近くへ動かしてもらえますか。
bitter	The medicine has a bitter taste.	その薬は苦い味がする。
blank	Leave this section blank if it does not apply to you.	自分に当てはまらなければ、この欄は空白にしてください。
blanket	We took an extra blanket because the night was cold.	夜が寒かったので、私たちは毛布をもう1枚持っていった。
blind	The organization provides guide dogs for blind people.	その団体は目の不自由な人に盲導犬を提供している。
block	A fallen tree continued to block the road.	倒れた木が道路をふさぎ続けていた。
blood	Donating blood can help save lives.	献血は命を救う助けになる。
blow	Strong winds can blow sand across the road.	強風で砂が道路を横切って飛ぶことがある。
board	The board will review the proposal next week.	理事会は来週その提案を検討する。
boil	Boil the water for at least one minute before drinking it.	飲む前に水を少なくとも1分間沸騰させてください。
bold	It was a bold decision to launch the product overseas first.	その製品をまず海外で発売するのは大胆な決定だった。
bomb	Police safely removed the unexploded bomb.	警察は不発弾を安全に撤去した。
bombing	The museum exhibition describes the effects of the bombing.	その博物館の展示は爆撃の影響を説明している。
bone	The doctor confirmed that no bone was broken.	医師は骨が折れていないことを確認した。
book	You should book your seat several weeks in advance.	数週間前に席を予約した方がよい。
booking	I received an email confirming my hotel booking.	ホテルの予約を確認するメールを受け取った。
borrow	Can I borrow your dictionary until tomorrow?	明日まであなたの辞書を借りてもいいですか。
boss	My boss encouraged me to apply for the position.	上司は私にその職へ応募するよう勧めた。
bottom	Your name should appear at the bottom of the form.	氏名は用紙の下部に記載してください。
bound	The train is bound for the airport.	その電車は空港行きだ。
bowl	She ordered a bowl of vegetable soup.	彼女は野菜スープを一杯注文した。
brain	Sleep gives the brain time to process new information.	睡眠は脳に新しい情報を処理する時間を与える。
branch	The bank plans to open a new branch near the university.	その銀行は大学の近くに新しい支店を開く予定だ。
brave	The brave firefighter entered the burning building.	勇敢な消防士は燃えている建物に入った。
breast	Early tests can help detect breast cancer.	早期検査は乳がんの発見に役立つ。
breathing	Slow breathing can help you feel calmer.	ゆっくりした呼吸は気持ちを落ち着かせる助けになる。
brick	The old school was built of red brick.	その古い学校は赤れんがで建てられていた。
bride	The bride thanked everyone for coming to the wedding.	花嫁は結婚式に来てくれた全員に感謝した。
bridge	The new bridge has reduced travel time between the towns.	新しい橋によって町どうしの移動時間が短くなった。
briefly	The chairperson briefly explained the purpose of the meeting.	議長は会議の目的を手短に説明した。
bright	The room felt bright and welcoming after it was painted.	塗装後、その部屋は明るく居心地よく感じられた。
brilliant	She suggested a brilliant solution to the design problem.	彼女は設計上の問題に見事な解決策を提案した。
broadcaster	The public broadcaster will show the debate live.	公共放送局は討論会を生中継する。
broadly	The new policy has been broadly welcomed by teachers.	新しい方針は教師たちに広く歓迎されている。
broken	Take care because the broken glass is still on the floor.	割れたガラスがまだ床にあるので気をつけて。
brush	Use a soft brush to clean the surface.	表面を掃除するには柔らかいブラシを使ってください。
bubble	A large bubble rose to the surface of the water.	大きな泡が水面に浮かび上がった。
bug	The developers fixed a bug that caused the app to crash.	開発者はアプリを停止させていた不具合を修正した。
bullet	Police found a bullet near the damaged vehicle.	警察は損傷した車両の近くで弾丸を見つけた。
bunch	She brought a bunch of flowers to the hospital.	彼女は病院に花束を持ってきた。
burn	Dry leaves burn very quickly in hot weather.	乾いた葉は暑い天気では非常に速く燃える。
bush	A small bird was hiding in the bush.	小鳥が茂みの中に隠れていた。
businessman	The local businessman invested in several community projects.	地元の実業家はいくつかの地域事業に投資した。
but	The apartment is small but comfortable.	そのアパートは小さいが快適だ。
button	Press the green button to save your changes.	変更を保存するには緑のボタンを押してください。
by	The report must be completed by Friday.	報告書は金曜日までに完成させなければならない。
cabin	We stayed in a wooden cabin beside the lake.	私たちは湖畔の木造小屋に泊まった。
cable	A damaged cable caused the internet connection to fail.	損傷したケーブルのせいでインターネット接続が切れた。
calm	She remained calm throughout the emergency.	彼女は緊急事態の間ずっと冷静だった。
camp	We set up camp before it became dark.	暗くなる前に私たちは野営地を設けた。
camping	The family goes camping beside the lake every summer.	その家族は毎夏、湖畔へキャンプに行く。
campus	Smoking is not allowed anywhere on campus.	キャンパス内ではどこでも喫煙が禁止されている。
can	This machine can translate short messages automatically.	この機械は短いメッセージを自動で翻訳できる。
canal	A narrow canal connects the river with the harbour.	細い運河が川と港を結んでいる。
cancer	Early diagnosis can improve the treatment of cancer.	早期診断はがん治療の改善につながりうる。
candle	She lit a candle when the electricity went off.	停電した時、彼女はろうそくに火をつけた。
cap	He wore a blue cap to protect his face from the sun.	彼は日差しから顔を守るため青い帽子をかぶった。
captain	The captain asked the passengers to remain seated.	機長は乗客に座ったままでいるよう求めた。
carbon	The new design produces less carbon during manufacture.	新しい設計では製造時に出る炭素が少ない。
care	Good teachers care about the progress of every student.	よい教師は生徒一人ひとりの成長を気にかける。
careful	Be careful when crossing this busy road.	この交通量の多い道路を渡る時は気をつけて。
carefully	She carefully compared the two contracts before signing.	彼女は署名する前に2つの契約書を慎重に比較した。
carpet	A thick carpet made the room feel warmer.	厚いじゅうたんのおかげで部屋がより暖かく感じられた。
cartoon	The newspaper published a cartoon about the election.	その新聞は選挙についての風刺漫画を掲載した。
case	This case shows why clear safety rules are necessary.	この事例は明確な安全規則が必要な理由を示している。
cash	This small shop accepts cash only.	この小さな店は現金しか受け付けない。
cast	The director chose a young actor to join the cast.	監督は出演者に加える若い俳優を選んだ。
castle	Thousands of visitors explore the castle each year.	毎年何千人もの観光客がその城を見学する。
casual	The office allows casual clothes on Fridays.	その職場では金曜日に普段着が認められている。
catch	We left early to catch the first train.	私たちは始発電車に乗るため早く出発した。
cave	The explorers found ancient paintings inside the cave.	探検家たちは洞窟の中で古代の絵を発見した。
ceiling	A lamp hung from the centre of the ceiling.	照明が天井の中央から下がっていた。
celebrate	The team gathered to celebrate its tenth anniversary.	チームは創立10周年を祝うため集まった。
celebration	The victory led to a joyful celebration in the streets.	勝利によって通りでは喜びに満ちた祝賀が行われた。
celebrity	A local celebrity opened the charity event.	地元の有名人が慈善イベントの開会を務めた。
central	Trust is central to a successful working relationship.	信頼は良好な仕事上の関係に不可欠だ。
centre	The program will centre on practical communication skills.	その講座は実用的なコミュニケーション技能を中心にする。
certain	I am certain that we locked the door before leaving.	出かける前にドアに鍵をかけたと確信している。
certainly	This experience will certainly help you in the future.	この経験は将来きっとあなたの役に立つ。
certainty	We cannot predict the result with complete certainty.	私たちは完全な確信をもって結果を予測することはできない。
certificate	You will receive a certificate after completing the course.	講座を修了すると証明書を受け取れる。
chair	A senior judge will chair the discussion.	上級判事が討論の議長を務める。
chairman	The chairman called the meeting to order at nine.	議長は9時に会議の開始を告げた。
challenging	Learning to negotiate in another language can be challenging.	別の言語で交渉を学ぶのは難しいことがある。
champion	The defending champion won the race by two seconds.	前回の優勝者は2秒差でレースに勝った。
championship	Our school reached the national championship for the first time.	私たちの学校は初めて全国選手権に進出した。
chance	This internship gives students a chance to gain experience.	この実習は学生に経験を積む機会を与える。
channel	Please change the channel if you want to watch the news.	ニュースを見たいならチャンネルを変えてください。
chapter	The final chapter explains how the problem was solved.	最終章では問題がどのように解決されたかを説明している。
character	The main character faces a difficult moral choice.	主人公は難しい道徳上の選択に直面する。
charming	We stayed in a charming village near the coast.	私たちは海岸近くの魅力的な村に滞在した。
chart	The chart compares energy use in five countries.	その図表は5か国のエネルギー使用量を比較している。
chat	We had a quick chat before the lecture began.	講義が始まる前に私たちは少し話をした。
cheap	The ticket was cheap because I booked it early.	早く予約したので切符は安かった。
check	Please check that all the windows are closed.	すべての窓が閉まっているか確認してください。
cheek	The cold wind made her cheek turn red.	冷たい風で彼女の頬が赤くなった。
cheer	The crowd began to cheer when the players appeared.	選手が姿を見せると観客は歓声を上げ始めた。
cheerful	Her cheerful voice made everyone feel more relaxed.	彼女の明るい声でみんながよりくつろいだ気分になった。
chef	The chef uses vegetables grown on a nearby farm.	その料理人は近くの農場で育てられた野菜を使う。
chemistry	She decided to study chemistry at university.	彼女は大学で化学を学ぶことにした。
chest	The doctor listened to the patient's chest.	医師は患者の胸の音を聴いた。
chief	The chief engineer approved the final design.	主任技師が最終設計を承認した。
childhood	That song reminds me of my childhood.	その歌を聞くと子ども時代を思い出す。
chip	A small chip in the glass made it unsafe to use.	ガラスの小さな欠けのため、それは安全に使えなくなった。
choice	Customers have a choice between three payment methods.	客は3つの支払い方法から選べる。
choir	The school choir performed at the winter festival.	学校の合唱団が冬祭りで演奏した。
chop	Chop the onions into small pieces before adding them.	加える前に玉ねぎを細かく切ってください。
church	The old church stands at the centre of the village.	古い教会が村の中心に建っている。
cigarette	He put out his final cigarette and decided to quit.	彼は最後のたばこを消し、禁煙を決意した。
circle	Draw a circle around the correct answer.	正解の周りに円を描いてください。
circuit	The runners completed three laps of the circuit.	走者たちはコースを3周した。
civilization	Writing played an important role in the development of civilization.	文字は文明の発展で重要な役割を果たした。
clarify	Could you clarify what you mean by this sentence?	この文で何を意味しているのか明確にしてもらえますか。
classic	The novel has become a classic of modern literature.	その小説は現代文学の名作となった。
classical	She often listens to classical music while working.	彼女は仕事中によくクラシック音楽を聴く。
clause	The contract includes a clause about early cancellation.	その契約書には早期解約についての条項がある。
clear	The guide gave clear instructions before the tour.	案内人はツアー前に明確な指示を出した。
clearly	Please speak clearly so that everyone can understand.	全員が理解できるようにはっきり話してください。
clerk	The hotel clerk helped us change our reservation.	ホテルの係員が予約変更を手伝ってくれた。
clever	She found a clever way to reuse the old materials.	彼女は古い材料を再利用する賢い方法を見つけた。
click	Click the link to open the full report.	リンクをクリックして報告書全体を開いてください。
cliff	A narrow path follows the top of the cliff.	細い道が崖の上に沿って続いている。
climb	It took us four hours to climb the mountain.	その山を登るのに4時間かかった。
clinic	The new clinic provides free health checks.	新しい診療所は無料の健康診断を提供する。
clip	Use this clip to keep the papers together.	書類をまとめるためにこのクリップを使ってください。
close	Please close the gate when you leave.	出る時に門を閉めてください。
closed	The road remained closed after the heavy snow.	大雪の後、その道路は閉鎖されたままだった。
closely	The two organizations work closely on environmental projects.	その2つの団体は環境事業で緊密に協力している。
cloth	Wipe the screen gently with a soft cloth.	柔らかい布で画面を優しく拭いてください。
clothing	Warm clothing is essential in this climate.	この気候では暖かい衣類が不可欠だ。
cloud	A dark cloud appeared above the mountains.	山々の上に暗い雲が現れた。
clue	The photograph provided an important clue to the mystery.	その写真は謎を解く重要な手がかりとなった。
coach	The coach encouraged the players during the break.	コーチは休憩中に選手たちを励ました。
coal	The country plans to reduce its dependence on coal.	その国は石炭への依存を減らす予定だ。
coast	We followed the coast north for nearly a week.	私たちはほぼ1週間、海岸沿いを北へ進んだ。
code	Enter the security code shown on your phone.	電話に表示されたセキュリティーコードを入力してください。
coin	I found an old coin while digging in the garden.	庭を掘っている時に古い硬貨を見つけた。
coincidence	It was a coincidence that we chose the same flight.	私たちが同じ便を選んだのは偶然だった。
collect	Volunteers collect food for local families each month.	ボランティアは毎月、地元の家庭のために食料を集める。
collection	The museum has a large collection of early photographs.	その博物館には初期の写真の大規模な収蔵品がある。
collector	A private collector bought the rare painting.	個人の収集家がその珍しい絵を購入した。
colony	The island was once a European colony.	その島はかつてヨーロッパの植民地だった。
coloured	The children decorated the wall with coloured paper.	子どもたちは色紙で壁を飾った。
colourful	The market is filled with colourful fruit and flowers.	市場には色鮮やかな果物や花が並んでいる。
column	Write the total in the final column of the table.	合計を表の最後の列に書いてください。
comedy	We watched a comedy that made everyone laugh.	私たちはみんなが笑う喜劇を見た。
comfort	Her kind words gave me comfort during a difficult week.	つらい一週間に彼女の優しい言葉が慰めをくれた。
comfortable	These shoes are comfortable enough for a long walk.	この靴は長く歩いても十分に快適だ。
comic	The play combines a serious subject with comic moments.	その劇は深刻な題材に滑稽な場面を組み合わせている。
command	The officer gave a command to leave the area.	その士官は区域から離れるよう命令した。
commander	The commander explained the plan to the entire unit.	指揮官は部隊全体に計画を説明した。
commission	An independent commission will investigate the incident.	独立委員会がその出来事を調査する。
commonly	This expression is commonly used in informal conversation.	この表現はくだけた会話で一般によく使われる。
communication	Good communication prevents many workplace problems.	よい意思疎通は職場の多くの問題を防ぐ。
comparative	The study provides comparative data from six regions.	その研究は6地域の比較データを示している。
competitor	The company lowered its prices after a new competitor entered the market.	新たな競争相手が市場に参入した後、その会社は価格を下げた。
complain	Several residents complain about noise from the road.	数人の住民が道路の騒音について不満を訴えている。
completely	The new evidence completely changed our understanding of the event.	新しい証拠でその出来事に対する理解が完全に変わった。
completion	Payment is due upon completion of the work.	支払いは作業完了時に行われる。
composer	The composer wrote the music for several successful films.	その作曲家はいくつかの人気映画の音楽を書いた。
compound	Water is a compound of hydrogen and oxygen.	水は水素と酸素の化合物だ。
comprehensive	The website offers a comprehensive guide to local services.	そのウェブサイトは地域サービスの包括的な案内を提供している。
comprise	The course will comprise twelve short online lessons.	その講座は12の短いオンライン授業で構成される。
compulsory	Safety training is compulsory for all new employees.	安全研修はすべての新入社員に義務付けられている。
concentration	Background noise can reduce your concentration.	周囲の騒音は集中力を低下させることがある。
concerned	Parents are concerned about the lack of safe play areas.	保護者は安全な遊び場の不足を心配している。
confess	He decided to confess that he had made the mistake.	彼は自分が間違えたことを告白する決心をした。
confused	I felt confused by the different sets of instructions.	異なる指示がいくつもあり、私は混乱した。
confusing	The ticket machine is confusing for first-time users.	その券売機は初めての利用者には分かりにくい。
confusion	A change in the schedule caused considerable confusion.	日程変更がかなりの混乱を引き起こした。
connected	The two buildings are connected by an underground passage.	その2つの建物は地下通路でつながっている。
consequently	Demand fell sharply, and consequently the factory reduced production.	需要が急減し、その結果、工場は生産を減らした。
conservation	The project supports the conservation of coastal wildlife.	その事業は沿岸の野生生物の保護を支援する。
considerably	The journey is considerably shorter by train.	その旅は電車ならかなり短い。
consideration	Cost is an important consideration when choosing a course.	講座を選ぶ時、費用は重要な検討事項だ。
consistent	The witness gave a consistent account of what happened.	目撃者は起きたことについて一貫した説明をした。
consistently	The restaurant consistently provides excellent service.	そのレストランは一貫して優れたサービスを提供している。
conspiracy	Police found no evidence of a conspiracy.	警察は陰謀の証拠を見つけられなかった。
